coluna,tipo,exemplo,descricao
id_vaga,int64,4530,Identificador único da vaga
titulo,object,CONSULTOR CONTROL M,Título da vaga publicada
modalidade,object,CLT,"Modalidade da vaga (ex: CLT, PJ, remoto)"
candidato_nome,object,José Vieira,Nome do candidato encaminhado
candidato_codigo,float64,25632.0,Código interno do candidato
situacao_candidado,object,Encaminhado ao Requisitante,
data_candidatura,object,25-03-2021,Data em que o candidato se candidatou
ultima_atualizacao,object,25-03-2021,Última atualização do status do candidato
comentario,object,"Encaminhado para  - PJ R$ 72,00/hora",Observações ou detalhes da candidatura
recrutador,object,Ana Lívia Moreira,Nome do recrutador responsável pelo encaminhamento
informacoes_basicas_data_requicisao,object,10-03-2021,
informacoes_basicas_limite_esperado_para_contratacao,object,00-00-0000,
informacoes_basicas_titulo_vaga,object,CONSULTOR CONTROL M,
informacoes_basicas_vaga_sap,object,Não,
informacoes_basicas_cliente,object,"Morris, Moran and Dodson",
informacoes_basicas_solicitante_cliente,object,Dra. Catarina Marques,
informacoes_basicas_empresa_divisao,object,Decision São Paulo,
informacoes_basicas_requisitante,object,Maria Laura Nogueira,
informacoes_basicas_analista_responsavel,object,Ana Lívia Moreira,
informacoes_basicas_tipo_contratacao,object,PJ/Autônomo,
informacoes_basicas_prazo_contratacao,object,Indeterminado,
informacoes_basicas_objetivo_vaga,object,Contratação,
informacoes_basicas_prioridade_vaga,object,Média: Média complexidade 6 a 10 dias,
informacoes_basicas_origem_vaga,object,Nova Posição,
informacoes_basicas_superior_imediato,object,Superior Imediato:,
informacoes_basicas_nome,object,Sidney,
informacoes_basicas_telefone,object,1931158110.0,
perfil_vaga_pais,object,Brasil,
perfil_vaga_estado,object,Rio de Janeiro,
perfil_vaga_cidade,object,Rio de Janeiro,
perfil_vaga_bairro,object,Alphaville,
perfil_vaga_regiao,object,Sul,
perfil_vaga_local_trabalho,float64,2000.0,
perfil_vaga_vaga_especifica_para_pcd,object,Não,
perfil_vaga_faixa_etaria,object,De: Até:,
perfil_vaga_horario_trabalho,object,Comercial,
perfil_vaga_nivel profissional,object,Pleno,
perfil_vaga_nivel_academico,object,Ensino Superior Completo,
perfil_vaga_nivel_ingles,object,Nenhum,
perfil_vaga_nivel_espanhol,object,Nenhum,
perfil_vaga_outro_idioma,object,Nenhum,
perfil_vaga_areas_atuacao,object,TI - Desenvolvimento/Programação-,
perfil_vaga_principais_atividades,object,- Experiência comprovada em projetos de control-M,
perfil_vaga_competencia_tecnicas_e_comportamentais,object,- Experiência comprovada em projetos de control-M,
